Incident_ID,Date,Region,Team,Incident_Type,Severity,Status,Response_Time_Hours,Resolution_Time_Hours,Lesson_or_Action
INC-00284,2026-03-24,Wales,Workplace Projects,Staffing shortage,High,In Progress,1.9,3.2,
INC-00285,2026-06-06,North West,Estates Support,Customer escalation,High,Closed,2.1,11.1,Supplier action
INC-00286,2026-01-13,North East,Workplace Projects,System outage,Medium,Open,6.6,13.0,
INC-00287,2026-01-21,Midlands,Estates Support,Supplier delay,Medium,Closed,2.7,59.3,No further action
INC-00288,2026-02-10,Midlands,Workplace Projects,Process failure,Low,Closed,2.0,2.7,Process updated
INC-00289,2026-01-13,North West,Workplace Services,Supplier delay,Low,Closed,4.1,12.2,Process updated
INC-00290,2026-04-10,South West,Workplace Services,System outage,Low,Open,5.0,9.8,
INC-00291,2026-06-21,North West,Workplace Projects,System outage,Medium,Open,0.9,1.7,
INC-00292,2026-01-13,Scotland,Facilities Response,Building issue,Medium,Open,1.0,22.0,
INC-00293,2026-01-13,North West,Workplace Projects,System outage,High,Open,26.1,27.1,
INC-00294,2026-05-11,North West,Workplace Services,Data quality issue,High,In Progress,6.2,107.5,
INC-00295,2026-03-31,South West,Workplace Projects,Health & safety issue,Medium,Closed,4.2,71.3,Supplier action
INC-00296,2026-06-30,Scotland,Estates Support,Supplier delay,High,In Progress,3.5,4.0,
INC-00297,2026-06-02,South East,Facilities Response,System outage,Low,Open,0.4,4.9,
INC-00298,2026-05-15,South East,Estates Support,Staffing shortage,Low,Closed,3.6,7.9,Documentation updated
INC-00299,2026-02-28,North West,Estates Support,Building issue,Medium,Closed,5.1,16.6,No further action
INC-00300,2026-06-21,Scotland,Facilities Response,Customer escalation,Critical,In Progress,12.0,65.0,
INC-00301,2026-03-16,Wales,Workplace Projects,System outage,Medium,,7.0,24.4,Process updated
INC-00302,2026-01-26,South East,Estates Support,Staffing shortage,Medium,In Progress,8.8,27.0,
INC-00303,2026-04-05,South West,Estates Support,Customer escalation,High,Open,4.3,43.8,
INC-00304,2026-02-26,Wales,Workplace Services,Supplier delay,Medium,Closed,13.8,26.2,Process updated
INC-00305,2026-02-23,North West,Facilities Response,Customer escalation,Medium,In Progress,15.4,74.4,
INC-00306,2026-05-14,North West,Facilities Response,Process failure,Medium,Closed,1.5,12.5,Supplier action
INC-00307,2026-01-06,Midlands,Workplace Projects,Data quality issue,High,Closed,2.1,164.1,Training required
INC-00308,2026-01-11,North West,Workplace Projects,Health & safety issue,Critical,Open,43.7,308.9,
INC-00309,2026-03-05,Wales,Facilities Response,Staffing shortage,Medium,In Progress,3.4,19.6,
INC-00310,2026-02-24,North East,Facilities Response,Data quality issue,Critical,Open,23.4,143.6,
INC-00311,2026-04-08,South West,Estates Support,Supplier delay,Medium,Closed,7.6,10.8,No further action
INC-00312,2026-04-04,South West,Estates Support,Data quality issue,Medium,Closed,7.9,20.3,Process updated
INC-00313,2026-06-14,Scotland,Workplace Services,Data quality issue,Low,Closed,6.1,6.7,Training required
INC-00314,2026-04-14,South East,Workplace Projects,Process failure,High,In Progress,3.2,19.0,
INC-00315,2026-04-18,South West,Facilities Response,Process failure,High,Closed,27.2,48.1,Process updated
INC-00316,2026-04-03,Midlands,Estates Support,Building issue,Low,Closed,0.6,8.0,Training required
INC-00317,2026-01-17,South East,Workplace Projects,Building issue,Low,Closed,2.2,25.9,Process updated
INC-00318,2026-02-27,South East,Workplace Projects,Supplier delay,Low,Closed,1.2,1.7,Training required
INC-00319,2026-05-25,Scotland,Workplace Projects,Building issue,Low,Open,3.4,10.6,
INC-00320,2026-06-28,North West,Workplace Projects,Staffing shortage,Medium,In Progress,2.7,43.1,
INC-00321,2026-03-12,South East,Workplace Services,Data quality issue,Low,Closed,8.0,17.9,Documentation updated
INC-00322,2026-05-16,North East,Estates Support,Process failure,Medium,Open,5.6,13.8,
INC-00323,2026-05-02,Wales,Workplace Services,Customer escalation,Medium,Closed,9.5,16.8,Training required
INC-00324,2026-01-24,North West,Workplace Projects,System outage,Low,Closed,3.1,7.3,Documentation updated
INC-00325,2026-03-10,North West,Workplace Services,System outage,Medium,In Progress,3.2,16.5,
INC-00326,2026-04-11,South East,Workplace Projects,Process failure,Low,In Progress,1.6,4.9,
INC-00327,2026-06-28,Scotland,Workplace Projects,Process failure,Critical,Closed,16.6,84.9,Documentation updated
INC-00328,2026-05-21,North West,Facilities Response,Building issue,High,Closed,3.3,13.0,Process updated
INC-00329,2026-05-06,North West,Estates Support,Customer escalation,High,In Progress,7.5,12.5,
INC-00330,2026-01-16,Scotland,Estates Support,Health & safety issue,Medium,Closed,2.1,15.2,Process updated
INC-00331,2026-05-19,South West,Facilities Response,Data quality issue,Low,Open,3.9,5.7,
INC-00332,2026-04-11,Scotland,Workplace Services,Staffing shortage,Medium,Open,18.5,29.2,
INC-00333,2026-04-14,North East,Estates Support,System outage,Medium,Closed,7.0,42.6,Process updated
INC-00334,2026-06-11,South East,Workplace Services,Process failure,Low,Open,13.8,38.3,
INC-00335,2026-03-04,South East,Workplace Projects,Customer escalation,Medium,Closed,2.4,14.3,No further action
INC-00336,2026-02-01,North West,Workplace Projects,Staffing shortage,Low,Closed,6.7,6.8,Training required
INC-00337,2026-02-02,Wales,Workplace Services,Health & safety issue,Low,Closed,2.8,18.2,Process updated
INC-00338,2026-06-26,Midlands,Workplace Services,Staffing shortage,Medium,In Progress,16.8,39.4,
INC-00339,2026-05-27,North West,Estates Support,System outage,High,Open,10.5,40.5,
INC-00340,2026-01-02,South East,Estates Support,Health & safety issue,Medium,Closed,10.0,82.2,Supplier action
INC-00341,2026-03-13,Scotland,Workplace Services,Building issue,Low,Closed,1.1,7.8,Process updated
INC-00342,2026-01-05,South East,Facilities Response,Health & safety issue,Medium,Closed,2.7,4.3,Process updated
INC-00343,2026-01-19,South West,Estates Support,Customer escalation,Low,Open,14.4,33.8,
INC-00344,2026-05-15,South West,Facilities Response,Health & safety issue,Medium,In Progress,1.0,6.9,
INC-00345,2026-03-23,Wales,Workplace Services,Supplier delay,Critical,In Progress,54.3,59.8,
INC-00346,2026-02-27,Scotland,Facilities Response,Supplier delay,Medium,Closed,4.9,9.0,Process updated
INC-00347,2026-03-12,North East,Facilities Response,Staffing shortage,Medium,Closed,2.2,21.4,Training required
INC-00348,2026-06-20,South West,Estates Support,Process failure,Low,Open,1.6,2.8,
INC-00349,2026-04-18,Midlands,Estates Support,Process failure,Medium,In Progress,0.6,61.0,
INC-00350,2026-01-27,South West,Workplace Services,Process failure,Medium,Closed,4.2,9.4,Training required
INC-00351,2026-06-06,North East,Estates Support,Supplier delay,Low,In Progress,10.5,27.3,
INC-00352,2026-02-17,Scotland,Workplace Projects,Supplier delay,Medium,Closed,0.8,18.6,Documentation updated
INC-00353,2026-03-09,Wales,Workplace Services,System outage,Medium,Closed,3.0,36.0,Training required
INC-00354,2026-06-09,South West,Workplace Projects,Supplier delay,Medium,Closed,7.3,14.4,No further action
INC-00355,2026-03-26,Wales,Workplace Projects,Data quality issue,High,In Progress,7.0,24.7,
INC-00356,2026-05-27,Midlands,Workplace Services,System outage,Medium,Closed,6.5,10.6,Process updated
INC-00357,2026-05-31,Scotland,Workplace Projects,Customer escalation,Low,Closed,1.2,5.2,Training required
INC-00358,2026-02-09,North West,Facilities Response,Supplier delay,Medium,Closed,6.1,7.6,Training required
INC-00359,2026-03-23,South East,Estates Support,Customer escalation,Medium,In Progress,8.2,17.3,
INC-00360,2026-04-12,South East,Workplace Projects,Health & safety issue,Critical,Closed,22.0,50.1,Documentation updated
INC-00361,2026-05-14,South East,Estates Support,Data quality issue,Low,Closed,8.2,22.0,Supplier action
INC-00362,2026-03-26,North West,Facilities Response,Data quality issue,Low,Closed,2.8,12.4,Supplier action
INC-00363,2026-02-06,South East,Facilities Response,Process failure,High,Closed,8.6,15.5,Documentation updated
INC-00364,2026-04-17,Midlands,Workplace Projects,System outage,Low,Closed,2.2,15.6,Process updated
INC-00365,2026-04-12,North East,Workplace Projects,System outage,Medium,Closed,14.8,39.5,Supplier action
INC-00366,2026-04-19,South East,Estates Support,Building issue,Low,Closed,1.6,5.2,Training required
INC-00367,2026-01-23,North East,Workplace Services,Data quality issue,Low,Closed,6.5,9.6,Documentation updated
INC-00368,2026-02-05,South West,Workplace Services,Customer escalation,Medium,Closed,2.4,44.5,Supplier action
INC-00369,2026-04-19,Midlands,Facilities Response,Building issue,Medium,Closed,11.3,18.9,Supplier action
INC-00370,2026-06-07,Midlands,Facilities Response,Customer escalation,Low,In Progress,2.2,18.3,
INC-00371,2026-04-26,North East,Estates Support,Customer escalation,Low,In Progress,4.8,21.4,
INC-00372,2026-01-18,North West,Facilities Response,System outage,Low,Closed,5.0,31.9,Training required
INC-00373,2026-05-18,South West,Estates Support,System outage,Low,Closed,3.6,7.1,Supplier action
INC-00374,2026-04-28,North East,Workplace Projects,Staffing shortage,Medium,In Progress,3.2,28.4,
INC-00375,2026-01-19,South West,Workplace Projects,System outage,Medium,In Progress,4.0,13.6,
INC-00376,2026-05-09,South West,Workplace Projects,Health & safety issue,High,Closed,6.7,89.5,Training required
INC-00377,2026-01-17,North East,Workplace Services,Staffing shortage,Medium,Closed,4.0,13.8,Process updated
INC-00378,2026-03-03,South East,Workplace Services,Staffing shortage,Medium,In Progress,5.5,26.5,
INC-00379,2026-05-04,South East,Facilities Response,Health & safety issue,Medium,Closed,3.6,40.9,Process updated
INC-00380,2026-04-18,North West,Workplace Services,Building issue,Medium,Closed,9.1,18.4,Supplier action
INC-00381,2026-05-19,Scotland,Facilities Response,Supplier delay,Medium,Closed,2.1,6.3,No further action
INC-00382,2026-04-14,Wales,Workplace Projects,System outage,Medium,In Progress,3.5,16.5,
INC-00383,2026-03-20,North East,Workplace Services,Building issue,Medium,Closed,1.7,9.5,Supplier action
INC-00384,2026-03-03,North West,Workplace Projects,Supplier delay,Medium,Closed,13.7,22.3,Training required
INC-00385,2026-03-03,South East,Workplace Services,Data quality issue,Low,Closed,5.5,15.5,Process updated
INC-00386,2026-06-13,South East,Facilities Response,Health & safety issue,Medium,In Progress,2.7,23.1,
INC-00387,2026-04-09,South West,Workplace Projects,Staffing shortage,Medium,Open,1.6,41.4,
INC-00388,2026-06-06,North East,Workplace Projects,Staffing shortage,Medium,In Progress,5.8,45.4,
INC-00389,2026-03-03,North East,Facilities Response,Staffing shortage,Low,Closed,1.1,12.6,Training required
INC-00390,2026-04-04,South East,Facilities Response,Customer escalation,Medium,Closed,4.9,7.5,Supplier action
INC-00391,2026-03-31,Midlands,Facilities Response,Health & safety issue,Medium,Closed,2.0,52.4,Documentation updated
INC-00392,2026-05-09,Midlands,Workplace Projects,Supplier delay,Low,In Progress,4.1,26.0,
INC-00393,2026-03-15,South West,Estates Support,Health & safety issue,High,Open,13.5,55.7,
INC-00394,2026-06-10,Midlands,Workplace Services,Process failure,Medium,In Progress,11.1,16.1,
INC-00395,2026-01-05,South West,Facilities Response,Process failure,Medium,Closed,11.9,51.3,Documentation updated
INC-00396,2026-04-14,South West,Facilities Response,Staffing shortage,High,Closed,8.2,10.3,Supplier action
INC-00397,2026-01-20,Wales,Workplace Services,Health & safety issue,Medium,In Progress,10.3,119.1,
INC-00398,2026-06-12,Midlands,Workplace Projects,System outage,Low,Closed,0.4,6.0,Supplier action
INC-00399,2026-06-07,North West,Workplace Projects,Process failure,Low,Closed,4.6,9.3,Supplier action
INC-00400,2026-04-09,Wales,Workplace Services,Supplier delay,High,Closed,8.2,151.3,Supplier action
INC-00401,2026-06-20,South West,Workplace Services,Data quality issue,Low,Closed,7.4,13.4,Training required
INC-00402,2026-01-28,Midlands,Estates Support,Building issue,Medium,Open,3.9,39.4,
INC-00403,2026-06-19,South East,Workplace Services,Health & safety issue,Medium,Closed,9.4,17.5,Training required
INC-00404,2026-04-30,Wales,Workplace Services,Customer escalation,Medium,Closed,5.7,71.6,Training required
INC-00405,2026-05-30,North East,Workplace Projects,System outage,High,Open,1.2,27.7,
INC-00406,2026-04-03,Wales,Facilities Response,Health & safety issue,Low,Closed,3.6,18.8,No further action
INC-00407,2026-02-09,South East,Facilities Response,Data quality issue,High,Closed,5.2,10.3,Documentation updated
INC-00408,2026-06-26,North West,Workplace Projects,Staffing shortage,Low,Open,1.9,2.6,
INC-00409,2026-01-08,Scotland,Facilities Response,Health & safety issue,Low,Open,7.8,34.8,
INC-00410,2026-03-03,South West,Workplace Projects,Customer escalation,High,Closed,12.2,22.5,Process updated
INC-00411,2026-06-12,North East,Workplace Services,Customer escalation,High,Closed,6.2,63.7,No further action
INC-00412,2026-05-04,Scotland,Estates Support,System outage,Low,Closed,10.1,11.2,Supplier action
INC-00413,2026-04-08,Scotland,Workplace Projects,Staffing shortage,Low,Open,0.5,36.5,
INC-00414,2026-06-09,North East,Workplace Services,Building issue,Medium,Closed,17.7,28.1,Supplier action
INC-00415,2026-04-20,South West,Workplace Services,Data quality issue,Low,Closed,1.4,6.9,Documentation updated
INC-00416,2026-01-13,Scotland,Workplace Services,Data quality issue,Low,Closed,1.8,27.0,Training required
INC-00417,2026-01-31,North West,Workplace Projects,Process failure,Medium,In Progress,3.8,31.1,
INC-00418,2026-05-08,Scotland,Estates Support,Data quality issue,Low,Closed,2.4,54.7,Training required
INC-00419,2026-02-26,South East,Workplace Services,System outage,Low,In Progress,1.8,11.8,
INC-00420,2026-06-17,South West,Facilities Response,Customer escalation,Low,In Progress,16.3,44.1,
INC-00421,2026-05-28,Scotland,Workplace Services,Health & safety issue,Medium,Closed,3.9,15.8,Supplier action
INC-00422,2026-03-12,Scotland,Workplace Projects,Customer escalation,Low,Open,2.2,11.3,
INC-00423,2026-05-21,South East,Workplace Services,Staffing shortage,Low,In Progress,3.4,11.9,
INC-00424,2026-04-05,North West,Workplace Projects,System outage,Medium,In Progress,5.9,8.6,
INC-00425,2026-06-15,South East,Workplace Services,Data quality issue,Low,Closed,1.1,23.1,Documentation updated
INC-00426,2026-06-15,Wales,Workplace Projects,Process failure,Low,Closed,10.1,38.4,No further action
INC-00427,2026-06-26,South East,Workplace Services,Process failure,Medium,Open,6.1,10.6,
INC-00428,2026-03-25,North East,Facilities Response,Building issue,Medium,Closed,8.4,26.2,Documentation updated
INC-00429,2026-03-22,North East,Workplace Services,Building issue,Medium,Closed,2.2,7.1,Supplier action
INC-00430,2026-04-19,Wales,Workplace Projects,Supplier delay,Low,Closed,3.5,3.6,No further action
INC-00431,2026-01-16,South West,Facilities Response,System outage,Low,In Progress,5.5,11.9,
INC-00432,2026-04-04,Midlands,Estates Support,Building issue,Low,Closed,2.9,14.9,Process updated
INC-00433,2026-06-29,Midlands,Estates Support,Health & safety issue,Low,Open,1.5,25.7,
INC-00434,2026-05-17,South East,Workplace Services,Staffing shortage,Medium,Closed,1.7,9.1,No further action
INC-00435,2026-05-16,North West,Facilities Response,Staffing shortage,Medium,Closed,3.0,28.0,Supplier action
INC-00436,2026-04-05,South East,Workplace Projects,Building issue,Medium,In Progress,9.5,56.7,
INC-00437,2026-03-27,Scotland,Workplace Services,Staffing shortage,Medium,Closed,2.2,12.0,Process updated
INC-00438,2026-05-29,Wales,Estates Support,Customer escalation,Low,Open,3.5,16.9,
INC-00439,2026-01-28,South East,Estates Support,Data quality issue,Medium,Open,2.7,46.6,
INC-00440,2026-06-13,Wales,Workplace Projects,System outage,Medium,Closed,2.6,12.9,Supplier action
INC-00441,2026-04-09,Scotland,Workplace Projects,System outage,Low,Closed,1.8,24.5,No further action
INC-00442,2026-04-24,Wales,Workplace Projects,Customer escalation,Low,Open,1.5,6.8,
INC-00443,2026-01-25,Wales,Estates Support,Process failure,Low,Closed,8.6,21.7,Training required
INC-00444,2026-03-08,North West,Estates Support,Health & safety issue,Medium,Closed,0.5,4.8,Documentation updated
INC-00445,2026-02-13,North West,Facilities Response,Supplier delay,High,Open,12.9,23.6,
INC-00446,2026-06-25,South West,Workplace Services,Supplier delay,Low,Closed,1.8,8.9,Process updated
INC-00447,2026-04-26,Scotland,Facilities Response,Data quality issue,Medium,In Progress,3.9,10.3,
INC-00448,2026-06-29,South East,Workplace Services,System outage,Low,Closed,3.1,32.4,No further action
INC-00449,2026-02-16,Scotland,Estates Support,Data quality issue,High,Closed,8.0,40.7,Supplier action
INC-00450,2026-02-09,North West,Workplace Services,Health & safety issue,High,Closed,14.6,18.0,Documentation updated
INC-00451,2026-06-30,Midlands,Workplace Projects,Process failure,Low,In Progress,1.2,29.7,
INC-00452,2026-01-02,South East,Workplace Projects,Staffing shortage,Medium,Open,1.8,39.0,
INC-00453,2026-05-03,South East,Workplace Projects,Process failure,High,Open,35.8,45.0,
INC-00454,2026-06-11,Scotland,Workplace Projects,System outage,Low,In Progress,3.7,7.4,
INC-00455,2026-06-19,South East,Workplace Services,Staffing shortage,Low,In Progress,5.9,8.1,
INC-00456,2026-01-17,North West,Facilities Response,Process failure,Low,Closed,1.9,32.7,Supplier action
INC-00457,2026-04-20,North East,Workplace Projects,Process failure,High,In Progress,5.0,23.8,
INC-00458,2026-06-12,Scotland,Workplace Services,System outage,High,Closed,8.7,93.4,Training required
INC-00459,2026-01-20,North East,Estates Support,Supplier delay,Medium,Open,4.6,27.2,
INC-00460,2026-01-13,North East,Workplace Projects,Staffing shortage,Low,Closed,0.5,15.4,Supplier action
INC-00461,2026-05-27,North East,Estates Support,Health & safety issue,Low,Open,6.2,18.1,
INC-00462,2026-05-25,Wales,Facilities Response,Health & safety issue,Low,Open,2.2,16.4,
INC-00463,2026-05-22,North West,Estates Support,Data quality issue,Low,Closed,0.5,30.5,No further action
INC-00464,2026-06-22,North East,Workplace Projects,Customer escalation,High,Closed,3.1,24.5,Supplier action
INC-00465,2026-06-08,Wales,Workplace Services,Customer escalation,High,Open,21.9,52.8,
INC-00466,2026-02-26,North West,Facilities Response,Supplier delay,Medium,Closed,6.2,16.3,No further action
INC-00467,2026-04-08,South East,Workplace Services,Process failure,Medium,Closed,1.9,3.9,Documentation updated
INC-00468,2026-05-31,Midlands,Facilities Response,Health & safety issue,High,Closed,7.0,18.3,No further action
INC-00469,2026-01-06,North West,Estates Support,Supplier delay,Medium,Closed,6.7,28.2,No further action
INC-00470,2026-03-22,South East,Workplace Services,Health & safety issue,High,Closed,25.8,41.4,Supplier action
INC-00471,2026-01-03,Wales,Workplace Projects,System outage,Medium,Closed,1.1,51.3,Training required
INC-00472,2026-03-24,South East,Workplace Services,Health & safety issue,Low,Closed,1.0,3.4,Process updated
INC-00473,2026-03-15,Wales,Workplace Services,Process failure,Medium,Closed,0.8,3.9,Training required
INC-00474,2026-01-10,North East,Estates Support,Process failure,High,In Progress,3.9,13.3,
INC-00475,2026-05-06,South East,Workplace Projects,Supplier delay,Low,Closed,0.5,11.3,Training required
INC-00476,2026-03-31,Wales,Workplace Services,Customer escalation,Medium,Closed,4.9,14.0,Training required
INC-00477,2026-02-28,Midlands,Estates Support,Customer escalation,Low,Open,2.3,24.8,
INC-00478,2026-01-17,North East,Workplace Services,Building issue,Low,In Progress,0.7,3.4,
INC-00479,2026-04-28,North West,Workplace Projects,Customer escalation,Low,Closed,4.2,30.0,Documentation updated
INC-00480,2026-02-06,South East,Estates Support,Process failure,Low,Open,1.0,11.7,
INC-00481,2026-03-05,North West,Estates Support,Data quality issue,Low,Closed,1.4,7.0,Training required
INC-00482,2026-04-10,Midlands,Estates Support,Building issue,Medium,Closed,5.6,11.0,No further action
INC-00483,2026-06-29,North West,Workplace Services,Staffing shortage,Low,Open,4.3,26.3,
INC-00484,2026-01-09,Midlands,Facilities Response,Data quality issue,Low,Closed,1.9,15.9,Documentation updated
INC-00485,2026-02-13,Scotland,Facilities Response,Customer escalation,Low,Open,13.6,33.5,
INC-00486,2026-05-08,South East,Workplace Services,Staffing shortage,High,In Progress,13.3,30.7,
INC-00487,2026-05-18,North West,Workplace Projects,Health & safety issue,Medium,In Progress,3.3,9.2,
INC-00488,2026-05-19,Midlands,Workplace Projects,Customer escalation,Medium,Closed,2.0,13.5,Supplier action
INC-00489,2026-04-02,North East,Estates Support,Supplier delay,Low,Closed,3.6,12.6,Supplier action
INC-00490,2026-06-03,North West,Facilities Response,Building issue,Medium,Closed,2.5,22.8,Process updated
INC-00491,2026-02-18,South West,Workplace Projects,Data quality issue,Low,Open,5.5,8.7,
INC-00492,2026-02-11,North East,Workplace Services,Process failure,Medium,Closed,1.9,20.8,Documentation updated
INC-00493,2026-01-22,Scotland,Facilities Response,System outage,Low,Closed,1.1,12.5,No further action
INC-00494,2026-06-17,Scotland,Facilities Response,Health & safety issue,Low,Closed,1.4,1.8,No further action
INC-00495,2026-03-07,North West,Workplace Projects,Process failure,Medium,Closed,5.5,35.0,Training required
INC-00496,2026-01-29,South East,Workplace Services,Building issue,Medium,In Progress,0.9,2.6,
INC-00497,2026-05-26,Scotland,Facilities Response,Data quality issue,High,Open,41.3,81.0,
INC-00498,2026-05-07,South West,Workplace Projects,Health & safety issue,Medium,Closed,9.6,26.8,Supplier action
INC-00499,2026-05-31,Scotland,Estates Support,Building issue,Low,Open,1.7,3.4,
INC-00500,2026-05-20,North West,Workplace Services,Building issue,High,Open,22.8,41.7,
INC-00501,2026-02-13,South West,Workplace Services,Customer escalation,High,Closed,3.9,71.8,Documentation updated
INC-00502,2026-01-31,North West,Workplace Projects,Process failure,Low,In Progress,11.4,21.9,
INC-00503,2026-01-29,Scotland,Workplace Services,Supplier delay,Low,In Progress,16.1,19.3,
INC-00504,2026-03-13,Scotland,Workplace Projects,Health & safety issue,Low,Closed,6.5,53.9,Supplier action
INC-00505,2026-06-06,Scotland,Workplace Projects,Process failure,Critical,Closed,24.8,44.8,Process updated
INC-00506,2026-03-22,Midlands,Workplace Projects,Building issue,Medium,Closed,2.8,26.9,Documentation updated
INC-00507,2026-04-18,South West,Workplace Services,Customer escalation,Low,Open,2.3,68.3,
INC-00508,2026-06-22,South East,Workplace Services,Process failure,Low,Open,2.4,14.5,
INC-00509,2026-03-27,North East,Workplace Projects,Supplier delay,Low,Closed,0.8,9.0,Supplier action
INC-00510,2026-03-18,Midlands,Workplace Projects,Health & safety issue,Medium,Closed,4.9,19.0,Supplier action
INC-00511,2026-06-03,North West,Estates Support,Staffing shortage,Low,Closed,4.4,8.1,Process updated
INC-00512,2026-06-19,North East,Estates Support,Staffing shortage,High,Open,12.0,25.9,
INC-00513,2026-01-11,Wales,Workplace Projects,Supplier delay,Low,Open,1.9,32.4,
INC-00514,2026-02-15,South East,Workplace Projects,System outage,Low,In Progress,4.6,9.7,
INC-00515,2026-04-28,South West,Workplace Projects,Process failure,Medium,Closed,3.2,52.3,Documentation updated
INC-00516,2026-01-23,North West,Estates Support,Supplier delay,Critical,Closed,2.3,23.2,No further action
INC-00517,2026-01-14,North East,Facilities Response,Staffing shortage,Medium,Open,3.1,5.3,
INC-00518,2026-06-28,Scotland,Estates Support,Health & safety issue,Medium,Open,3.0,13.9,
INC-00519,2026-01-07,South West,Facilities Response,Supplier delay,Low,Closed,1.4,10.8,Training required
INC-00520,2026-02-21,North West,Workplace Projects,Supplier delay,Low,Open,5.0,8.0,
INC-00521,2026-01-04,Midlands,Facilities Response,Building issue,Low,Closed,0.8,4.5,No further action
INC-00522,2026-06-27,Midlands,Estates Support,Process failure,Medium,Closed,3.0,9.3,Supplier action
INC-00523,2026-02-16,South East,Estates Support,System outage,Medium,Closed,3.7,16.3,Supplier action
INC-00524,2026-03-07,South West,Facilities Response,Supplier delay,Low,In Progress,1.1,15.4,
INC-00525,2026-05-07,South East,Estates Support,Process failure,Low,Open,0.5,7.1,
INC-00526,2026-04-11,North West,Facilities Response,System outage,High,Closed,6.4,57.2,Supplier action
INC-00527,2026-06-16,Wales,Workplace Services,Building issue,Low,Closed,3.3,8.8,Training required
INC-00528,2026-06-29,Scotland,Workplace Projects,Staffing shortage,Low,Closed,2.5,20.1,Training required
INC-00529,2026-06-10,South East,Estates Support,Data quality issue,High,Closed,8.4,21.7,Documentation updated
INC-00530,2026-01-22,North East,Estates Support,System outage,Medium,Closed,0.6,5.7,No further action
INC-00531,2026-06-28,South West,Workplace Services,Process failure,Low,In Progress,3.6,21.8,
INC-00532,2026-03-15,Midlands,Facilities Response,Building issue,Low,Closed,1.0,3.6,No further action
INC-00533,2026-01-29,North West,Facilities Response,Process failure,Low,In Progress,11.0,38.1,
INC-00534,2026-01-08,South East,Workplace Projects,Staffing shortage,Medium,In Progress,0.6,15.1,
INC-00535,2026-01-16,Midlands,Workplace Projects,Process failure,Low,In Progress,0.8,32.2,
INC-00536,2026-03-12,Scotland,Workplace Services,System outage,High,In Progress,6.0,18.3,
INC-00537,2026-04-20,Midlands,Workplace Services,Data quality issue,Low,Closed,0.8,2.5,Process updated
INC-00538,2026-06-13,North West,Estates Support,Building issue,Medium,Closed,0.7,48.1,Supplier action
INC-00539,2026-03-19,North West,Estates Support,System outage,Low,Open,3.9,10.6,
INC-00540,2026-04-21,North West,Workplace Projects,System outage,Low,Open,1.0,2.3,
INC-00541,2026-03-08,Wales,Facilities Response,Health & safety issue,Medium,In Progress,1.9,3.7,
INC-00542,2026-04-28,South West,Facilities Response,Customer escalation,Medium,In Progress,3.7,49.7,
INC-00543,2026-04-24,South West,Estates Support,Staffing shortage,Medium,In Progress,6.3,65.0,
INC-00544,2026-02-14,North East,Workplace Services,Staffing shortage,Medium,Closed,2.5,26.1,No further action
INC-00545,2026-02-02,South East,Estates Support,Process failure,Low,Closed,11.4,39.2,Supplier action
INC-00546,2026-06-17,Midlands,Workplace Services,Data quality issue,Medium,Open,6.1,15.2,
INC-00547,2026-02-15,Scotland,Estates Support,Building issue,High,Closed,21.0,167.0,Process updated
INC-00548,2026-05-14,North West,Workplace Projects,Staffing shortage,Medium,In Progress,5.0,20.4,
INC-00549,2026-05-29,Midlands,Estates Support,Data quality issue,Low,Closed,0.6,22.7,Supplier action
INC-00550,2026-06-19,Midlands,Workplace Projects,Process failure,Medium,Closed,6.4,21.5,Documentation updated
INC-00551,2026-03-31,Midlands,Workplace Services,Customer escalation,Medium,Open,2.0,11.8,
INC-00552,2026-05-25,South West,Facilities Response,Supplier delay,Low,Closed,2.7,6.9,Documentation updated
INC-00553,2026-03-16,Midlands,Workplace Projects,Building issue,Low,Closed,0.6,1.0,Process updated
INC-00554,2026-04-26,North West,Workplace Services,System outage,Low,Open,1.5,10.1,
INC-00555,2026-05-06,Midlands,Workplace Services,Building issue,Low,Closed,6.1,18.0,Supplier action
INC-00556,2026-03-14,Midlands,Estates Support,Health & safety issue,Low,Open,5.8,11.9,
INC-00557,2026-03-30,Midlands,Facilities Response,Process failure,Medium,Closed,0.9,2.6,Training required
INC-00558,2026-01-10,Midlands,Workplace Projects,Health & safety issue,Medium,Open,2.7,19.4,
INC-00559,2026-01-04,South West,Workplace Services,Supplier delay,Low,Open,1.4,6.5,
INC-00560,2026-05-01,South East,Estates Support,Customer escalation,Medium,Closed,11.4,41.9,No further action
INC-00561,2026-06-19,South East,Workplace Services,Health & safety issue,Low,Closed,0.5,3.8,Process updated
INC-00562,2026-04-27,Scotland,Workplace Services,Building issue,Low,Open,2.8,17.0,
INC-00563,2026-03-15,Wales,Workplace Services,Supplier delay,Medium,Open,1.7,69.3,
INC-00564,2026-03-26,Wales,Facilities Response,Building issue,Low,Closed,0.9,5.9,Process updated
INC-00565,2026-05-10,Wales,Facilities Response,Supplier delay,Medium,Closed,2.4,12.4,No further action
INC-00566,2026-03-10,North East,Estates Support,Process failure,Low,Closed,2.0,19.5,Supplier action
INC-00567,2026-01-14,North East,Facilities Response,Process failure,Medium,Closed,8.3,50.3,Supplier action
INC-00568,2026-03-13,Scotland,Workplace Projects,Supplier delay,High,Closed,3.9,63.8,Supplier action
INC-00569,2026-01-10,South East,Workplace Services,Supplier delay,High,In Progress,4.2,5.9,
